PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,10:07,,,SUBIN:EvansJawun
,10:07,,,SUBOUT:AveretteBrandon
REBOUND(DEF)byPurvisRodney,09:55,,,MISSEDLAYUPbyEvansJawun
GOOD!FTSHOTbyPurvisRodney,09:50,14-23,-9,FOULbyFortePhil(P1T5)
MISSEDFTSHOTbyPurvisRodney,09:50,,,REBOUND(DEF)byMcGriffCameron
FOULbyDurhamJuwan(P1T6),09:50,,,
SUBIN:DurhamJuwan,09:50,,,
SUBOUT:VitalChristian,09:50,,,
BLOCKbyBrimahAmida,09:33,,,MISSEDLAYUPbyCarrollJeffrey
REBOUND(DEF)by(TEAM),09:32,,,
TURNOVRbyJacksonVance,09:14,,,
,09:13,,,STEALbyCarrollJeffrey
,09:01,,,TURNOVRbySolomonMitchell
,09:01,,,FOULbySolomonMitchell(P2T6)
,09:01,,,SUBIN:ShineTavarius
,09:01,,,SUBIN:WatersLindy
,09:01,,,SUBOUT:CarrollJeffrey
,09:01,,,SUBOUT:McGriffCameron
MISSEDLAYUPbyJacksonVance,08:44,,,REBOUND(DEF)bySolomonMitchell
REBOUND(DEF)byBrimahAmida,08:40,,,MISSEDLAYUPbyFortePhil
MISSED3PTRbyJacksonVance,08:29,,,
REBOUND(OFF)by(TEAM),08:29,,,
,08:27,,,SUBIN:N'GuessanLucas
,08:27,,,SUBOUT:SolomonMitchell
MISSEDJUMPERbyDurhamJuwan,08:15,,,
REBOUND(OFF)byBrimahAmida,08:15,,,
MISSEDFTSHOTbyBrimahAmida,08:13,,,FOULbyN'GuessanLucas(P1T7)
,08:13,,,REBOUND(DEF)byEvansJawun
REBOUND(DEF)byDurhamJuwan,08:03,,,MISSEDJUMPERbyEvansJawun
GOOD!3PTRbyJacksonVance,07:53,17-23,-6,
ASSISTbyPurvisRodney,07:53,,,
FOULbyPurvisRodney(P1T7),07:39,,,
,07:39,,,TIMEOUTmedia
,07:39,17-24,-7,GOOD!FTSHOTbyEvansJawun
REBOUND(DEF)byBrimahAmida,07:39,,,MISSEDFTSHOTbyEvansJawun
GOOD!JUMPERbyAdamsJalen[PNT],07:26,19-24,-5,
,07:04,19-26,-7,GOOD!JUMPERbyEvansJawun[PNT]
MISSEDJUMPERbyAdamsJalen,06:44,,,
REBOUND(OFF)byAdamsJalen,06:44,,,
MISSED3PTRbyJacksonVance,06:37,,,REBOUND(DEF)byN'GuessanLucas
FOULbyBrimahAmida(P2T8),06:37,,,MISSEDFTSHOTbyN'GuessanLucas
,06:37,,,REBOUND(OFF)byCarrollJeffrey
SUBIN:EnochSteven,06:37,,,SUBIN:CarrollJeffrey
SUBOUT:BrimahAmida,06:37,,,SUBOUT:EvansJawun
,06:29,19-28,-9,GOOD!LAYUPbyCarrollJeffrey[PNT]
TURNOVRbyPurvisRodney,06:07,,,
,06:05,,,STEALbyCarrollJeffrey
,05:47,19-30,-11,GOOD!LAYUPbyShineTavarius[PNT]
TURNOVRbyEnochSteven,05:27,,,STEALbyN'GuessanLucas
FOULbyPurvisRodney(P2T9),05:27,19-31,-12,GOOD!FTSHOTbyFortePhil
,05:27,19-32,-13,GOOD!FTSHOTbyFortePhil
SUBIN:VitalChristian,05:27,,,SUBIN:McGriffCameron
SUBIN:FaceyKentan,05:27,,,SUBOUT:N'GuessanLucas
SUBOUT:PurvisRodney,05:27,,,
SUBOUT:DurhamJuwan,05:27,,,
TURNOVRbyAdamsJalen,05:21,,,
,05:19,,,STEALbyFortePhil
REBOUND(DEF)by(TEAM),05:18,,,MISSEDLAYUPbyCarrollJeffrey
GOOD!LAYUPbyVitalChristian[PNT],05:08,21-32,-11,
MISSEDFTSHOTbyVitalChristian,05:08,,,FOULbyMcGriffCameron(P1T8)
,05:08,,,REBOUND(DEF)byCarrollJeffrey
FOULbyAdamsJalen(P2T10),04:38,21-33,-12,GOOD!FTSHOTbyFortePhil
,04:38,21-34,-13,GOOD!FTSHOTbyFortePhil
SUBIN:PurvisRodney,04:38,,,SUBIN:N'GuessanLucas
SUBOUT:AdamsJalen,04:38,,,SUBOUT:McGriffCameron
GOOD!FTSHOTbyJacksonVance,04:23,22-34,-12,FOULbyShineTavarius(P1T9)
GOOD!FTSHOTbyJacksonVance,04:23,23-34,-11,
FOULbyJacksonVance(P1T11),04:06,23-35,-12,GOOD!FTSHOTbyCarrollJeffrey
REBOUND(DEF)byEnochSteven,04:06,,,MISSEDFTSHOTbyCarrollJeffrey
,03:54,,,FOULbyN'GuessanLucas(P2T10)
TIMEOUTMEDIA,03:54,,,
GOOD!FTSHOTbyEnochSteven,03:54,24-35,-11,
GOOD!FTSHOTbyEnochSteven,03:54,25-35,-10,
,03:54,,,SUBIN:McGriffCameron
,03:54,,,SUBIN:EvansJawun
,03:54,,,SUBOUT:N'GuessanLucas
,03:54,,,SUBOUT:FortePhil
,03:40,,,TURNOVRbyWatersLindy
,03:40,,,FOULbyWatersLindy(P2T11)
MISSED3PTRbyVitalChristian,03:26,,,REBOUND(DEF)byEvansJawun
,03:18,25-38,-13,GOOD!3PTRbyEvansJawun
MISSEDJUMPERbyPurvisRodney,02:59,,,REBOUND(DEF)byCarrollJeffrey
REBOUND(DEF)byPurvisRodney,02:39,,,MISSEDJUMPERbyEvansJawun
GOOD!FTSHOTbyPurvisRodney,02:28,26-38,-12,FOULbyEvansJawun(P1T12)
MISSEDFTSHOTbyPurvisRodney,02:28,,,REBOUND(DEF)byMcGriffCameron
,02:28,,,SUBIN:FortePhil
,02:28,,,SUBOUT:ShineTavarius
,02:14,,,TURNOVRbyCarrollJeffrey
,02:14,,,FOULbyCarrollJeffrey(P1T13)
MISSED3PTRbyJacksonVance,01:57,,,REBOUND(DEF)by(TEAM)
,01:40,,,TURNOVRbyWatersLindy
TURNOVRbyFaceyKentan,01:24,,,
,01:23,,,STEALbyEvansJawun
,01:21,,,TURNOVRbyCarrollJeffrey
SUBIN:AdamsJalen,01:21,,,
SUBOUT:FaceyKentan,01:21,,,
MISSEDJUMPERbyAdamsJalen,01:09,,,REBOUND(DEF)byEvansJawun
SUBIN:FaceyKentan,00:56,,,
SUBOUT:AdamsJalen,00:56,,,
,00:40,,,MISSEDJUMPERbyEvansJawun
,00:40,,,REBOUND(OFF)by(TEAM)
,00:36,,,SUBIN:N'GuessanLucas
,00:36,,,SUBOUT:McGriffCameron
BLOCKbyFaceyKentan,00:28,,,MISSEDLAYUPbyEvansJawun
,00:26,,,REBOUND(OFF)byCarrollJeffrey
,00:25,26-40,-14,GOOD!TIP-INbyEvansJawun[PNT]
,00:25,,,TIMEOUT30sec
SUBIN:AdamsJalen,00:25,,,SUBIN:ShineTavarius
SUBOUT:FaceyKentan,00:25,,,SUBOUT:FortePhil
MISSED3PTRbyPurvisRodney,00:01,,,
REBOUND(OFF)byJacksonVance,00:01,,,
MISSEDLAYUPbyJacksonVance,00:00,,,REBOUND(DEF)by(DEADBALL)
SUBIN:JacksonVance,20:00,,,
SUBOUT:LarrierTerry,20:00,,,
REBOUND(DEF)byJacksonVance,19:50,,,MISSEDJUMPERbyEvansJawun
GOOD!JUMPERbyAdamsJalen[PNT],19:24,28-40,-12,
,19:14,,,MISSED3PTRbyHammondsLeyton
,19:14,,,REBOUND(OFF)bySolomonMitchell
,19:09,28-43,-15,GOOD!3PTRbyFortePhil
,19:09,,,ASSISTbySolomonMitchell
MISSEDLAYUPbyFaceyKentan,18:48,,,
REBOUND(OFF)by(TEAM),18:48,,,
