PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,00:36,,,ASSISTbyShineTavarius
,00:36,,,TIMEOUT30sec
,00:36,,,SUBIN:SolomonMitchell
,00:36,,,SUBOUT:CarrollJeffrey
GOOD!3PTRbyPurvisRodney,00:31,87-93,-6,
FOULbyVitalChristian(P4T15),00:29,,,MISSEDFTSHOTbyEvansJawun
,00:29,,,REBOUND(OFF)by(DEADBALL)
,00:29,87-94,-7,GOOD!FTSHOTbyEvansJawun
SUBIN:DurhamJuwan,00:29,,,SUBIN:CarrollJeffrey
SUBOUT:BrimahAmida,00:29,,,SUBOUT:ShineTavarius
MISSED3PTRbyVitalChristian,00:25,,,
REBOUND(OFF)byAdamsJalen,00:25,,,
GOOD!3PTRbyAdamsJalen,00:19,90-94,-4,
FOULbyAdamsJalen(P5T16),00:16,90-95,-5,GOOD!FTSHOTbyEvansJawun
,00:16,90-96,-6,GOOD!FTSHOTbyEvansJawun
SUBIN:EnochSteven,00:16,,,SUBIN:ShineTavarius
SUBOUT:AdamsJalen,00:16,,,SUBOUT:CarrollJeffrey
MISSED3PTRbyEnochSteven,00:10,,,REBOUND(DEF)byFortePhil
FOULbyJacksonVance(P4T17),00:05,90-97,-7,GOOD!FTSHOTbyFortePhil
,00:05,90-98,-8,GOOD!FTSHOTbyFortePhil
MISSED3PTRbyPurvisRodney,00:01,,,
REBOUND(OFF)byVitalChristian,00:01,,,
