PLAYHome,TIME,SCORE,MAR,PLAYUC
,07:19,,,REBOUND(DEF)byAdamsJalen
,07:13,29-33,4,GOOD!JUMPERbyPurvisRodney[FB]
,07:13,,,ASSISTbyVitalChristian
TIMEOUT30sec,07:13,,,
TIMEOUTMEDIA,07:13,,,
MISSEDLAYUPbyPopeAustin,06:59,,,BLOCKbyDurhamJuwan
REBOUND(OFF)by(TEAM),06:59,,,
MISSEDLAYUPbyPopeAustin,06:55,,,REBOUND(DEF)byVitalChristian
,06:36,29-35,6,GOOD!LAYUPbyEnochSteven[FB/PNT]
,06:36,,,ASSISTbyAdamsJalen
GOOD!3PTRbyKuanyKuany,06:23,32-35,3,
ASSISTbyPopeAustin,06:23,,,
REBOUND(DEF)byKuanyKuany,06:03,,,MISSEDJUMPERbyDurhamJuwan
MISSED3PTRbyWalkerDantley,05:56,,,REBOUND(DEF)byEnochSteven
REBOUND(DEF)byPopeAustin,05:36,,,MISSED3PTRbyVitalChristian
TURNOVRbyPopeAustin,05:29,,,
,05:27,,,STEALbyVitalChristian
,05:24,32-37,5,GOOD!DUNKbyEnochSteven[FB/PNT]
,05:24,,,ASSISTbyAdamsJalen
MISSEDJUMPERbyDalySam,04:51,,,REBOUND(DEF)byEnochSteven
,04:34,32-39,7,GOOD!JUMPERbyEnochSteven
,04:34,,,ASSISTbyAdamsJalen
TIMEOUT30sec,04:28,,,
TIMEOUTMEDIA,04:28,,,
SUBIN:PollardNate,04:28,,,
SUBOUT:WalkerDantley,04:28,,,
GOOD!3PTRbyDalySam,04:08,35-39,4,
REBOUND(DEF)byGoodwinRohndell,03:49,,,MISSEDJUMPERbyEnochSteven
TURNOVRbyDalySam,03:41,,,
,03:23,,,TURNOVRbyVitalChristian
,03:23,,,FOULbyVitalChristian(P1T7)
GOOD!LAYUPbyPopeAustin[PNT],03:09,37-39,2,
,03:04,,,TURNOVRbyDurhamJuwan
STEALbyPopeAustin,03:02,,,
