PLAYUC,TIME,SCORE,MAR,PLAYVisitor
MISSEDFTSHOTbyFaceyKentan,07:49,,,
REBOUND(OFF)by(DEADBALL),07:49,,,
GOOD!FTSHOTbyFaceyKentan,07:49,13-16,-3,
,07:27,,,MISSEDJUMPERbyTHOMPSONTAUREAN
,07:27,,,REBOUND(OFF)by(TEAM)
FOULbyJacksonVance(P1T8),07:27,13-17,-4,GOOD!FTSHOTbyROBERSONTYLER
REBOUND(DEF)byFaceyKentan,07:27,,,MISSEDFTSHOTbyROBERSONTYLER
,07:27,,,SUBIN:HOWARDFRANK
,07:27,,,SUBIN:WHITEIIIANDREW
,07:27,,,SUBOUT:THOMPSONTAUREAN
,07:27,,,SUBOUT:GILLONJOHN
GOOD!JUMPERbyDurhamJuwan[PNT],07:06,15-17,-2,
ASSISTbyAdamsJalen,07:06,,,
,06:39,,,TURNOVRbyHOWARDFRANK
STEALbyFaceyKentan,06:38,,,
GOOD!FTSHOTbyPurvisRodney,06:37,16-17,-1,FOULbyBATTLETYUS(P2T4)
GOOD!FTSHOTbyPurvisRodney,06:37,17-17,0,
,06:37,,,SUBIN:GILLONJOHN
,06:37,,,SUBOUT:BATTLETYUS
REBOUND(DEF)byPurvisRodney,06:22,,,MISSED3PTRbyHOWARDFRANK
TURNOVRbyPurvisRodney,06:17,,,
,06:16,,,STEALbyGILLONJOHN
REBOUND(DEF)by(TEAM),06:07,,,MISSED3PTRbyGILLONJOHN
,06:06,,,FOULbyROBERSONTYLER(P1T5)
MISSED3PTRbyPurvisRodney,05:47,,,REBOUND(DEF)byROBERSONTYLER
REBOUND(DEF)byDurhamJuwan,05:32,,,MISSEDJUMPERbyROBERSONTYLER
MISSED3PTRbyPurvisRodney,05:00,,,REBOUND(DEF)by(TEAM)
,05:00,,,SUBIN:COLEMANDAJUAN
,05:00,,,SUBOUT:ROBERSONTYLER
REBOUND(DEF)byFaceyKentan,04:44,,,MISSED3PTRbyHOWARDFRANK
GOOD!JUMPERbyDurhamJuwan[PNT],04:24,19-17,2,
ASSISTbyPurvisRodney,04:24,,,
REBOUND(DEF)byJacksonVance,04:09,,,MISSED3PTRbyWHITEIIIANDREW
SUBIN:VitalChristian,04:04,,,
SUBIN:BrimahAmida,04:04,,,
SUBOUT:PurvisRodney,04:04,,,
SUBOUT:FaceyKentan,04:04,,,
MISSED3PTRbyAdamsJalen,03:45,,,
REBOUND(OFF)byAdamsJalen,03:45,,,
TIMEOUT30sec,03:33,,,
,03:33,,,SUBIN:BATTLETYUS
,03:33,,,SUBOUT:HOWARDFRANK
MISSED3PTRbyAdamsJalen,03:06,,,REBOUND(DEF)byCOLEMANDAJUAN
,02:35,19-19,0,GOOD!JUMPERbyWHITEIIIANDREW
SUBIN:FaceyKentan,02:16,,,
SUBOUT:BrimahAmida,02:16,,,
MISSEDJUMPERbyAdamsJalen,02:02,,,REBOUND(DEF)byCOLEMANDAJUAN
FOULbyDurhamJuwan(P2T9),01:53,19-20,-1,GOOD!FTSHOTbyLYDONTYLER
,01:53,19-21,-2,GOOD!FTSHOTbyLYDONTYLER
SUBIN:PurvisRodney,01:53,,,
SUBOUT:DurhamJuwan,01:53,,,
MISSED3PTRbyJacksonVance,01:32,,,REBOUND(DEF)byLYDONTYLER
REBOUND(DEF)byAdamsJalen,01:25,,,MISSEDLAYUPbyGILLONJOHN
GOOD!FTSHOTbyPurvisRodney,01:20,20-21,-1,FOULbyWHITEIIIANDREW(P1T6)
GOOD!FTSHOTbyPurvisRodney,01:20,21-21,0,
,01:20,,,SUBIN:HOWARDFRANK
,01:20,,,SUBOUT:GILLONJOHN
TURNOVRbyVitalChristian,01:06,,,
MISSED3PTRbyVitalChristian,00:49,,,REBOUND(DEF)byCOLEMANDAJUAN
,00:42,,,MISSEDLAYUPbyHOWARDFRANK
,00:42,,,REBOUND(OFF)byCOLEMANDAJUAN
FOULbyJacksonVance(P2T10),00:40,,,MISSEDFTSHOTbyCOLEMANDAJUAN
,00:40,,,REBOUND(OFF)by(DEADBALL)
,00:40,,,SUBIN:ROBERSONTYLER
,00:40,,,SUBOUT:BATTLETYUS
