PLAYUC,TIME,SCORE,MAR,PLAYVisitor
REBOUND(DEF)byJacksonVance,11:10,,,MISSEDLAYUPbyBEGLEYDevon
GOOD!LAYUPbyAdamsJalen[FB/PNT],11:03,12-15,-3,
REBOUND(DEF)byGilbertAlterique,10:47,,,MISSED3PTRbyMURPHYAlex
GOOD!3PTRbyAdamsJalen[FB],10:38,15-15,0
ASSISTbyGilbertAlterique,10:38,,,
,10:36,,,TIMEOUT30sec
,10:36,,,SUBIN:OCCEUSShawn
,10:36,,,SUBIN:GRESHAMDonnell
,10:36,,,SUBOUT:MARSHALLJimmy
,10:36,,,SUBOUT:BEGLEYDevon
,10:09,15-17,-2,GOOD!LAYUPbyWILLIAMSTJ[PNT]
MISSEDJUMPERbyPurvisRodney,09:45,,,REBOUND(DEF)byWILLIAMSTJ
,09:32,15-19,-4,GOOD!LAYUPbyMILLERJeremy[PNT]
,09:32,,,ASSISTbyWILLIAMSTJ
GOOD!JUMPERbyAdamsJalen,09:21,17-19,-2,
,09:05,,,FOULbyMURPHYAlex(P1T6)
,09:05,,,TURNOVRbyMURPHYAlex
SUBIN:BrimahAmida,09:05,,,
SUBOUT:LarrierTerry,09:05,,,
GOOD!3PTRbyPurvisRodney,08:50,20-19,1,
ASSISTbyGilbertAlterique,08:50,,,
,08:31,20-22,-2,GOOD!3PTRbyMILLERJeremy
,08:31,,,ASSISTbyMURPHYAlex
MISSED3PTRbyJacksonVance,08:19,,,
REBOUND(OFF)byBrimahAmida,08:19,,,
MISSEDFTSHOTbyBrimahAmida,08:17,,,FOULbyMILLERJeremy(P2T7)
,08:17,,,REBOUND(DEF)byMURPHYAlex
SUBIN:DurhamJuwan,08:17,,,SUBIN:GREENAnthony
SUBOUT:JacksonVance,08:17,,,SUBOUT:MILLERJeremy
,08:07,20-24,-4,GOOD!JUMPERbyWILLIAMSTJ
TIMEOUTmedia,07:53,,,
GOOD!LAYUPbyGilbertAlterique[PNT],07:36,22-24,-2,
,07:17,,,TURNOVRbyMURPHYAlex
SUBIN:LarrierTerry,07:17,,,
SUBOUT:DurhamJuwan,07:17,,,
MISSED3PTRbyAdamsJalen,07:03,,,REBOUND(DEF)byOCCEUSShawn
,06:44,22-27,-5,GOOD!3PTRbyGRESHAMDonnell
,06:44,,,ASSISTbyWILLIAMSTJ
GOOD!JUMPERbyLarrierTerry,06:35,24-27,-3,
,06:08,,,MISSED3PTRbyGRESHAMDonnell
,06:08,,,REBOUND(OFF)by(TEAM)
FOULbyBrimahAmida(P1T5),06:07,,,
FOULbyBrimahAmida(P2T6),06:04,24-28,-4,GOOD!FTSHOTbyGRESHAMDonnell
,06:04,24-29,-5,GOOD!FTSHOTbyGRESHAMDonnell
SUBIN:FaceyKentan,06:04,,,
SUBOUT:BrimahAmida,06:04,,,
GOOD!LAYUPbyLarrierTerry[PNT],05:49,26-29,-3,
ASSISTbyAdamsJalen,05:49,,,
GOOD!FTSHOTbyLarrierTerry,05:49,27-29,-2,FOULbyGREENAnthony(P1T8)
,05:49,,,SUBIN:MILLERJeremy
,05:49,,,SUBOUT:GREENAnthony
REBOUND(DEF)byFaceyKentan,05:34,,,MISSED3PTRbyGRESHAMDonnell
MISSEDJUMPERbyLarrierTerry,05:08,,,REBOUND(DEF)byGRESHAMDonnell
,04:53,,,MISSEDLAYUPbyMURPHYAlex
,04:53,,,REBOUND(OFF)byMURPHYAlex
BLOCKbyLarrierTerry,04:51,,,MISSEDLAYUPbyMURPHYAlex
REBOUND(DEF)byLarrierTerry,04:50,,,
GOOD!LAYUPbyPurvisRodney[FB/PNT],04:46,29-29,0
ASSISTbyLarrierTerry,04:46,,,
,04:26,,,MISSEDJUMPERbyOCCEUSShawn
,04:26,,,REBOUND(OFF)byMILLERJeremy
REBOUND(DEF)byLarrierTerry,04:23,,,MISSED3PTRbyGRESHAMDonnell
GOOD!JUMPERbyLarrierTerry,04:10,31-29,2,
,03:43,31-31,0,GOOD!JUMPERbyWILLIAMSTJ
MISSEDJUMPERbyFaceyKentan,03:17,,,REBOUND(DEF)byMURPHYAlex
,03:09,31-33,-2,GOOD!LAYUPbyWILLIAMSTJ[PNT]
MISSED3PTRbyLarrierTerry,02:53,,,REBOUND(DEF)byGRESHAMDonnell
,02:32,,,MISSED3PTRbyGRESHAMDonnell
,02:32,,,REBOUND(OFF)byMURPHYAlex
,02:30,,,TURNOVRbyMURPHYAlex
TIMEOUTmedia,02:29,,,
,02:29,,,SUBIN:BOURSIQUOTMax
,02:29,,,SUBIN:BEGLEYDevon
,02:29,,,SUBOUT:GRESHAMDonnell
,02:29,,,SUBOUT:MURPHYAlex
MISSED3PTRbyPurvisRodney,02:02,,,
,01:50,,,REBOUND(DEF)byWILLIAMSTJ
REBOUND(DEF)byPurvisRodney,01:34,,,MISSEDJUMPERbyBOURSIQUOTMax
MISSED3PTRbyPurvisRodney,01:03,,,REBOUND(DEF)byWILLIAMSTJ
,00:54,31-35,-4,GOOD!LAYUPbyBOURSIQUOTMax[FB/PNT]
,00:54,,,ASSISTbyWILLIAMSTJ
TIMEOUT30sec,00:48,,,
,00:48,,,SUBIN:GREENAnthony
,00:48,,,SUBOUT:MILLERJeremy
TURNOVRbyAdamsJalen,00:39,,,
,00:38,,,STEALbyBEGLEYDevon
BLOCKbyFaceyKentan,00:18,,,MISSEDLAYUPbyWILLIAMSTJ
REBOUND(DEF)byGilbertAlterique,00:17,,,
MISSEDLAYUPbyLarrierTerry,00:12,,,
REBOUND(OFF)byLarrierTerry,00:12,,,
MISSEDLAYUPbyLarrierTerry,00:09,,,BLOCKbyGREENAnthony
,00:07,,,REBOUND(DEF)byBOURSIQUOTMax
BLOCKbyFaceyKentan,00:04,,,MISSEDLAYUPbyWILLIAMSTJ
,00:03,,,REBOUND(OFF)byBOURSIQUOTMax
REBOUND(DEF)byGilbertAlterique,00:02,,,MISSEDLAYUPbyBOURSIQUOTMax
SUBIN:PurvisRodney,20:00,,,
,19:40,,,FOULbyMILLERJeremy(P3T1)
,19:40,,,TURNOVRbyMILLERJeremy
GOOD!LAYUPbyAdamsJalen[PNT],19:32,33-35,-2,
REBOUND(DEF)byAdamsJalen,19:14,,,MISSED3PTRbyMILLERJeremy
GOOD!LAYUPbyAdamsJalen[PNT],18:59,35-35,0
,18:34,,,TURNOVRbyGRESHAMDonnell
STEALbyPurvisRodney,18:33,,,
MISSEDFTSHOTbyBrimahAmida,18:31,,,FOULbyGRESHAMDonnell(P1T2)
REBOUND(OFF)by(DEADBALL),18:31,,,
GOOD!FTSHOTbyBrimahAmida,18:31,36-35,1,
,18:31,,,SUBIN:GREENAnthony
,18:31,,,SUBOUT:MILLERJeremy
,18:12,,,MISSEDJUMPERbyWILLIAMSTJ
,18:12,,,REBOUND(OFF)byMURPHYAlex
FOULbyLarrierTerry(P2T1),18:00,,,MISSEDFTSHOTbyMURPHYAlex
,18:00,,,REBOUND(OFF)by(DEADBALL)
,18:00,36-36,0,GOOD!FTSHOTbyMURPHYAlex
GOOD!JUMPERbyPurvisRodney,17:29,38-36,2,
BLOCKbyBrimahAmida,17:21,,,MISSEDLAYUPbyGREENAnthony
REBOUND(DEF)byAdamsJalen,17:18,,,
MISSED3PTRbyGilbertAlterique,17:14,,,REBOUND(DEF)byMURPHYAlex
BLOCKbyLarrierTerry,16:53,,,MISSEDJUMPERbyOCCEUSShawn
REBOUND(DEF)byPurvisRodney,16:51,,,
GOOD!DUNKbyBrimahAmida[PNT],16:43,40-36,4,
ASSISTbyLarrierTerry,16:43,,,
,16:18,,,TURNOVRbyWILLIAMSTJ
STEALbyPurvisRodney,16:17,,,
TURNOVRbyPurvisRodney,16:14,,,
,16:13,,,STEALbyMURPHYAlex
BLOCKbyBrimahAmida,16:09,,,MISSEDLAYUPbyWILLIAMSTJ
REBOUND(DEF)byAdamsJalen,16:07,,,
,16:07,,,SUBIN:BOURSIQUOTMax
,16:07,,,SUBIN:BEGLEYDevon
,16:07,,,SUBOUT:OCCEUSShawn
,16:07,,,SUBOUT:GRESHAMDonnell
TURNOVRbyBrimahAmida,15:40,,,
,15:39,,,TIMEOUTMEDIA
,15:21,40-39,-1,GOOD!3PTRbyBEGLEYDevon
,15:21,,,ASSISTbyMURPHYAlex
GOOD!DUNKbyLarrierTerry[PNT],15:05,42-39,3,
ASSISTbyGilbertAlterique,15:05,,,
,14:47,,,TURNOVRbyMURPHYAlex
MISSEDJUMPERbyAdamsJalen,14:28,,,REBOUND(DEF)byWILLIAMSTJ
BLOCKbyBrimahAmida,14:20,,,MISSEDJUMPERbyBOURSIQUOTMax
,14:20,,,REBOUND(OFF)by(TEAM)
SUBIN:EnochSteven,14:20,,,
SUBOUT:BrimahAmida,14:20,,,
,14:11,42-42,0,GOOD!3PTRbyWILLIAMSTJ
,14:11,,,ASSISTbyBEGLEYDevon
MISSED3PTRbyPurvisRodney,13:44,,,REBOUND(DEF)byMURPHYAlex
,13:30,42-45,-3,GOOD!3PTRbyWILLIAMSTJ
,13:30,,,ASSISTbyMURPHYAlex
MISSEDFTSHOTbyGilbertAlterique,13:07,,,FOULbyGREENAnthony(P2T3)
REBOUND(OFF)by(DEADBALL),13:07,,,
MISSEDFTSHOTbyGilbertAlterique,13:07,,,REBOUND(DEF)byGREENAnthony
SUBOUT:LarrierTerry,13:07,,,
,12:51,,,MISSEDLAYUPbyBEGLEYDevon
,12:51,,,REBOUND(OFF)byGREENAnthony
,12:49,42-47,-5,GOOD!TIP-INbyGREENAnthony[PNT]
MISSEDLAYUPbyAdamsJalen,12:29,,,
REBOUND(OFF)byEnochSteven,12:29,,,
MISSEDLAYUPbyEnochSteven,12:27,,,REBOUND(DEF)byBOURSIQUOTMax
,12:23,,,TURNOVRbyBOURSIQUOTMax
STEALbyGilbertAlterique,12:22,,,
GOOD!LAYUPbyGilbertAlterique[FB/PNT],12:20,44-47,-3,
,12:00,,,MISSEDJUMPERbyGREENAnthony
,12:00,,,REBOUND(OFF)byWILLIAMSTJ
,11:58,,,MISSEDTIP-INbyWILLIAMSTJ
,11:58,,,REBOUND(OFF)byBOURSIQUOTMax
,11:56,44-49,-5,GOOD!JUMPERbyBOURSIQUOTMax[PNT]
MISSEDLAYUPbyJacksonVance,11:44,,,
REBOUND(OFF)by(TEAM),11:44,,,
,11:44,,,FOULbyBOURSIQUOTMax(P3T4)
TIMEOUTmedia,11:44,,,
SUBIN:BrimahAmida,11:44,,,
SUBIN:LarrierTerry,11:44,,,
SUBOUT:EnochSteven,11:44,,,
SUBOUT:GilbertAlterique,11:44,,,
GOOD!LAYUPbyLarrierTerry[PNT],11:27,46-49,-3,
,10:53,46-51,-5,GOOD!JUMPERbyWILLIAMSTJ
MISSED3PTRbyJacksonVance,10:35,,,REBOUND(DEF)byBEGLEYDevon
,10:11,,,TURNOVRbyBOURSIQUOTMax
STEALbyLarrierTerry,10:10,,,
GOOD!FTSHOTbyLarrierTerry,10:08,47-51,-4,FOULbyBEGLEYDevon(P2T5)
MISSEDFTSHOTbyLarrierTerry,10:08,,,REBOUND(DEF)byMURPHYAlex
,10:08,,,SUBIN:GRESHAMDonnell
,10:08,,,SUBOUT:BOURSIQUOTMax
,09:47,47-53,-6,GOOD!JUMPERbyWILLIAMSTJ
GOOD!FTSHOTbyBrimahAmida,09:39,48-53,-5,FOULbyGREENAnthony(P3T6)
GOOD!FTSHOTbyBrimahAmida,09:39,49-53,-4,
