PLAYUC,TIME,SCORE,MAR,PLAYVisitor
SUBOUT:PurvisRodney,6:54,,,
,6:24,19-26,-7,GOOD!JUMPERbySAUNDERSRomone
FOULbyLarrierTerry(P1T5),6:14,,,
TURNOVRbyLarrierTerry,6:14,,,
REBOUND(DEF)byJacksonVance,5:48,,,MISSED3PTRbyHENSONCorey
,5:35,,,FOULbyHENSONCorey(P1T6)
SUBIN:BrimahAmida,5:35,,,SUBIN:LIGGEONSDevin
SUBOUT:FaceyKentan,5:35,,,SUBOUT:CAREYMichael
GOOD!JUMPERbyGilbertAlterique,5:19,21-26,-5,
FOULbyLarrierTerry(P2T6),4:51,21-27,-6,GOOD!FTSHOTbyLIGGEONSDevin
,4:50,21-28,-7,GOOD!FTSHOTbyLIGGEONSDevin
,4:50,21-29,-8,GOOD!FTSHOTbyLIGGEONSDevin
SUBIN:VitalChristian,4:50,,,SUBIN:CAREYMichael
SUBOUT:LarrierTerry,4:50,,,SUBIN:SUMBRYAJ
,4:50,,,SUBOUT:SAUNDERSRomone
,4:50,,,SUBOUT:AAMANMike
MISSED3PTRbyAdamsJalen,4:39,,,REBOUND(DEF)bySALMONMarquis
,4:27,,,TURNOVRbyCAREYMichael
STEALbyAdamsJalen,4:26,,,
GOOD!LAYUPbyAdamsJalen[FB/PNT],4:24,23-29,-6,
,4:00,,,TURNOVRbyLIGGEONSDevin
TIMEOUTmedia,3:59,,,
,3:59,,,SUBIN:SAUNDERSRomone
,3:59,,,SUBOUT:SALMONMarquis
GOOD!3PTRbyAdamsJalen,3:31,26-29,-3,
,3:02,26-31,-5,GOOD!JUMPERbyHENSONCorey
GOOD!FTSHOTbyVitalChristian,2:57,27-31,-4,FOULbyHENSONCorey(P2T7)
GOOD!FTSHOTbyVitalChristian,2:57,28-31,-3,
,2:57,,,SUBIN:COOPERJoJo
,2:57,,,SUBOUT:HENSONCorey
FOULbyVitalChristian(P1T7),2:44,28-32,-4,GOOD!FTSHOTbySAUNDERSRomone
,2:44,28-33,-5,GOOD!FTSHOTbySAUNDERSRomone
GOOD!DUNKbyBrimahAmida[PNT],2:26,30-33,-3,
ASSISTbyAdamsJalen,2:26,,,
FOULbyGilbertAlterique(P1T8),2:06,30-34,-4,GOOD!FTSHOTbyCOOPERJoJo
,2:06,30-35,-5,GOOD!FTSHOTbyCOOPERJoJo
MISSEDLAYUPbyGilbertAlterique,1:50,,,BLOCKbySUMBRYAJ
REBOUND(OFF)byBrimahAmida,1:49,,,
GOOD!3PTRbyVitalChristian,1:43,33-35,-2,
ASSISTbyJacksonVance,1:43,,,
,1:13,,,TURNOVRbyCAREYMichael
STEALbyVitalChristian,1:12,,,
MISSEDLAYUPbyVitalChristian,1:10,,,
REBOUND(OFF)byJacksonVance,1:10,,,
MISSEDLAYUPbyJacksonVance,1:05,,,
REBOUND(OFF)byVitalChristian,1:05,,,
GOOD!FTSHOTbyJacksonVance,1:05,34-35,-1,FOULbySUMBRYAJ(P1T8)
GOOD!FTSHOTbyJacksonVance,1:05,35-35T2,,
,1:05,,,SUBIN:AAMANMike
,1:05,,,SUBIN:HENSONCorey
,1:05,,,SUBOUT:LIGGEONSDevin
,1:05,,,SUBOUT:SUMBRYAJ
,0:43,35-38,-3,GOOD!3PTRbySAUNDERSRomone
MISSED3PTRbyVitalChristian,0:25,,,REBOUND(DEF)byCOOPERJoJo
,0:00,,,MISSED3PTRbySAUNDERSRomone
,0:00,,,REBOUND(OFF)by(DEADBALL)
REBOUND(DEF)byLarrierTerry,19:40,,,MISSEDLAYUPbyAAMANMike
MISSED3PTRbyLarrierTerry,19:32,,,REBOUND(DEF)byAAMANMike
REBOUND(DEF)byBrimahAmida,19:01,,,MISSED3PTRbyCAREYMichael
MISSEDLAYUPbyAdamsJalen,18:52,,,REBOUND(DEF)bySALMONMarquis
,18:46,,,MISSEDLAYUPbySAUNDERSRomone
,18:46,,,REBOUND(OFF)by(TEAM)
,18:32,35-41,-6,GOOD!3PTRbyHENSONCorey
,18:32,,,ASSISTbyAAMANMike
MISSEDJUMPERbyLarrierTerry,18:19,,,
REBOUND(OFF)by(TEAM),18:19,,,
SUBIN:GilbertAlterique,18:18,,,
SUBOUT:LarrierTerry,18:18,,,
MISSED3PTRbyAdamsJalen,18:08,,,REBOUND(DEF)by(TEAM)
FOULbyFaceyKentan(P1T1),18:07,,,
,17:39,,,MISSEDJUMPERbyAAMANMike
,17:39,,,REBOUND(OFF)byCAREYMichael
REBOUND(DEF)byPurvisRodney,17:35,,,MISSED3PTRbyHENSONCorey
TURNOVRbyPurvisRodney,17:25,,,
,16:54,,,MISSED3PTRbyCAREYMichael
,16:54,,,REBOUND(OFF)by(DEADBALL)
,16:53,,,TURNOVRby(TEAM)
SUBIN:LarrierTerry,16:53,,,
SUBOUT:FaceyKentan,16:53,,,
MISSEDJUMPERbyAdamsJalen,16:28,,,REBOUND(DEF)byHENSONCorey
FOULbyLarrierTerry(P3T2),16:08,,,
,16:08,,,SUBIN:COOPERJoJo
,16:08,,,SUBOUT:SALMONMarquis
REBOUND(DEF)byLarrierTerry,15:40,,,MISSEDLAYUPbyAAMANMike
,15:39,,,FOULbySAUNDERSRomone(P2T1)
TIMEOUTmedia,15:39,,,
SUBIN:JacksonVance,15:39,,,
SUBIN:EnochSteven,15:39,,,
SUBOUT:BrimahAmida,15:39,,,
SUBOUT:LarrierTerry,15:39,,,
MISSEDJUMPERbyEnochSteven,15:19,,,REBOUND(DEF)byCAREYMichael
,14:57,,,MISSEDJUMPERbySAUNDERSRomone
,14:57,,,REBOUND(OFF)byAAMANMike
,14:53,,,TURNOVRbyAAMANMike
STEALbyGilbertAlterique,14:52,,,
MISSED3PTRbyJacksonVance,14:47,,,
REBOUND(OFF)byEnochSteven,14:47,,,
MISSEDLAYUPbyEnochSteven,14:43,,,
REBOUND(OFF)byAdamsJalen,14:43,,,
GOOD!TIP-INbyAdamsJalen[PNT],14:41,37-41,-4,
,14:10,37-44,-7,GOOD!3PTRbySAUNDERSRomone
,14:10,,,ASSISTbyCOOPERJoJo
MISSEDLAYUPbyAdamsJalen,14:00,,,
REBOUND(OFF)byEnochSteven,14:00,,,
MISSEDTIP-INbyEnochSteven,13:59,,,REBOUND(DEF)byAAMANMike
FOULbyEnochSteven(P1T3),13:58,,,
SUBIN:BrimahAmida,13:58,,,SUBIN:LIGGEONSDevin
SUBOUT:EnochSteven,13:58,,,SUBIN:SUMBRYAJ
,13:58,,,SUBOUT:AAMANMike
,13:58,,,SUBOUT:CAREYMichael
FOULbyGilbertAlterique(P2T4),13:53,,,
FOULbyBrimahAmida(P2T5),13:43,37-45,-8,GOOD!FTSHOTbyLIGGEONSDevin
