PLAYHome,TIME,SCORE,MAR,PLAYUC
,07:05,18-19,-1,GOOD!FTSHOTbyAdamsJalen
MISSEDFTSHOTbyLovingMarc,06:37,,,FOULbyBrimahAmida(P2T8)
REBOUND(OFF)by(DEADBALL),06:37,,,
GOOD!FTSHOTbyLovingMarc,06:37,19-19,0,
,06:37,,,SUBIN:FaceyKentan
,06:37,,,SUBOUT:BrimahAmida
REBOUND(DEF)byLyleJaQuan,06:23,,,MISSEDJUMPERbyPurvisRodney
TURNOVRbyLyleJaQuan,06:14,,,
SUBIN:WessonAndre,06:14,,,
SUBOUT:WilliamsKam,06:14,,,
,05:54,,,MISSEDJUMPERbyAdamsJalen
,05:54,,,REBOUND(OFF)byFaceyKentan
,05:50,19-21,-2,GOOD!JUMPERbyFaceyKentan[PNT]
MISSEDLAYUPbyTateJae'Sean,05:31,,,
REBOUND(OFF)byThompsonTrevor,05:31,,,
GOOD!FTSHOTbyThompsonTrevor,05:28,20-21,-1,FOULbyPurvisRodney(P1T9)
GOOD!FTSHOTbyThompsonTrevor,05:28,21-21,0,
REBOUND(DEF)byTateJae'Sean,05:03,,,MISSED3PTRbyPurvisRodney
GOOD!JUMPERbyThompsonTrevor,04:41,23-21,2,
,04:16,,,TURNOVRbyFaceyKentan
GOOD!DUNKbyThompsonTrevor[PNT],04:04,25-21,4,
ASSISTbyLovingMarc,04:04,,,
REBOUND(DEF)byThompsonTrevor,03:44,,,MISSED3PTRbyPurvisRodney
,03:37,,,FOULbyJacksonVance(P1T10)
TIMEOUTmedia,03:37,,,
GOOD!FTSHOTbyLovingMarc,03:37,26-21,5,
GOOD!FTSHOTbyLovingMarc,03:37,27-21,6,
SUBIN:JacksonC.J.,03:37,,,
SUBOUT:LyleJaQuan,03:37,,,
,03:24,27-24,3,GOOD!3PTRbyJacksonVance
,03:24,,,ASSISTbyAdamsJalen
MISSED3PTRbyTateJae'Sean,03:11,,,REBOUND(DEF)byVitalChristian
,03:01,27-26,1,GOOD!LAYUPbyVitalChristian[FB/PNT]
MISSED3PTRbyJacksonC.J.,02:39,,,
REBOUND(OFF)byWessonAndre,02:39,,,
MISSEDFTSHOTbyWessonAndre,02:34,,,FOULbyJacksonVance(P2T11)
REBOUND(OFF)by(DEADBALL),02:34,,,
GOOD!FTSHOTbyWessonAndre,02:34,28-26,2,
,02:21,28-28,0,GOOD!JUMPERbyJacksonVance[PNT]
GOOD!LAYUPbyTateJae'Sean[PNT],01:53,30-28,2,
REBOUND(DEF)byThompsonTrevor,01:35,,,MISSED3PTRbyVitalChristian
MISSEDLAYUPbyLovingMarc,01:25,,,REBOUND(DEF)byPurvisRodney
SUBIN:LyleJaQuan,01:17,,,
SUBIN:WilliamsKam,01:17,,,
SUBOUT:WessonAndre,01:17,,,
SUBOUT:JacksonC.J.,01:17,,,
,01:08,,,TURNOVRbyPurvisRodney
STEALbyLyleJaQuan,01:06,,,
GOOD!LAYUPbyLyleJaQuan[FB/PNT],01:02,32-28,4,
,00:55,,,TIMEOUT30sec
,00:46,32-31,1,GOOD!3PTRbyJacksonVance
,00:46,,,ASSISTbyAdamsJalen
TIMEOUT30sec,00:32,,,
MISSED3PTRbyLovingMarc,00:15,,,REBOUND(DEF)byJacksonVance
,00:03,32-34,-2,GOOD!3PTRbyAdamsJalen
,00:03,,,ASSISTbyJacksonVance
,19:45,32-36,-4,GOOD!JUMPERbyBrimahAmida
,19:45,,,ASSISTbyPurvisRodney
MISSED3PTRbyLyleJaQuan,19:21,,,REBOUND(DEF)byEnochSteven
,18:57,32-38,-6,GOOD!JUMPERbyVitalChristian
GOOD!FTSHOTbyTateJae'Sean,18:33,33-38,-5,FOULbyBrimahAmida(P3T1)
GOOD!FTSHOTbyTateJae'Sean,18:33,34-38,-4,
,18:33,,,SUBIN:FaceyKentan
,18:33,,,SUBOUT:BrimahAmida
,18:21,,,MISSEDJUMPERbyPurvisRodney
,18:21,,,REBOUND(OFF)byEnochSteven
